name,price,location,condition,mileage
Toyota Venza 2014 Black,"₦ 12,180,000","Lagos State, Kosofe",Local Used,100778 km
Mercedes-Benz GLK-Class 2010 Black,"₦ 10,258,500","Lagos State, Ajah",Local Used,177994 km
Hyundai Santa Fe 2008 Blue,"₦ 4,200,000","Lagos State, Ikorodu",Local Used,185231 km
Hyundai Sonata 2013 Gray,"₦ 6,300,000","Edo State, Benin City",Local Used,160988 km
Nissan Note 1.6 Petrol 2009 White,"₦ 4,725,000","Lagos State, Ikorodu",Local Used,179869 km
Lexus ES 2007 Gray,"₦ 6,300,000","Rivers State, Port-Harcourt",Local Used,186489 km
Mercedes-Benz M Class 2010 Black,"₦ 7,350,000","Lagos State, Alimosho",Local Used,291021 km
Hyundai Santa Fe 2007 White,"₦ 4,725,000","Lagos State, Ajah",Local Used,319180 km
Ford Edge 2011 Black,"₦ 6,825,000","Lagos State, Lekki",Local Used,347788 km
Toyota Camry 2013 Black,"₦ 10,290,000","Rivers State, Port-Harcourt",Local Used,153400 km
Lexus ES 2008 Red,"₦ 6,300,000","Lagos State, Lekki",Local Used,88621 km
Ford Fusion 2011 Black,"₦ 4,200,000","Lagos State, Surulere",Local Used,174221 km
Mercedes-Benz GLE-Class AMG GLE 63 S 4MATIC 2016 White,"₦ 84,000,000","Lagos State, Ikoyi",Foreign Used,129592 km
Toyota Camry 2011 Gold,"₦ 7,087,500","Lagos State, Alimosho",Local Used,119628 km
Toyota Sienna 2008 Blue,"₦ 5,460,000","Lagos State, Alimosho",Local Used,200618 km
Mercedes-Benz GL-Class 2012 Gray,"₦ 12,272,000","Abuja (FCT), Garki 2",Local Used,147109 km
Ford Edge 2007 Burgandy,"₦ 3,885,000","Lagos State, Ogba",Local Used,286716 km
Lexus RX 350 2016 Black,"₦ 36,400,000","Lagos State, Lekki",Local Used,100785 km
Peugeot 3008 2009 Gray,"₦ 6,510,000","Lagos State, Alimosho",Local Used,185267 km
Kia Sedona 2008 Blue,"₦ 4,725,000","Lagos State, Alimosho",Local Used,313116 km
Toyota Sienna 2011 Gray,"₦ 9,660,000","Lagos State, Ogba",Local Used,119155 km
Nissan Almera 2015 Silver,"₦ 5,775,000","Edo State, Benin City",Local Used,59753 km
Hyundai Santa Fe 2014 Black,"₦ 13,650,000","Abuja (FCT), Kubwa",Local Used,183624 km
Lexus ES 2016 Black,"₦ 28,350,000","Lagos State, Ikeja",Foreign Used,68314 km
Audi Q7 2015 Black,"₦ 26,250,000","Lagos State, Lekki",Foreign Used,198145 km
Kia Morning 2013 White,"₦ 7,245,000","Lagos State, Ikorodu",Foreign Used,62632 km
BMW 530i 2010 Black,"₦ 7,875,000","Abuja (FCT), Kubwa",Local Used,138733 km
Toyota Camry 2007 Gray,"₦ 5,880,000","Abuja (FCT), Garki 2",Local Used,223421 km
Toyota Venza 2011 White,"₦ 14,038,960","Abuja (FCT), Kubwa",Local Used,145905 km
Toyota RAV4 2006 Silver,"₦ 7,280,000","Lagos State, Alimosho",Local Used,216369 km
Ford Transit 2011 White,"₦ 8,925,000","Oyo State, Ibadan",Foreign Used,107916 km
Lexus ES 2008 White,"₦ 6,825,000","Abuja (FCT), Kubwa",Local Used,102431 km
Pontiac Vibe 2009 Blue,"₦ 8,400,000","Lagos State, Ogba",Foreign Used,168028 km
Toyota Highlander 2005 Silver,"₦ 6,510,000","Ogun State, Abeokuta North",Local Used,386748 km
Hyundai Genesis 2015 Gray,"₦ 24,675,000","Rivers State, Port-Harcourt",Foreign Used,84033 km
Lexus RX 330 2005 Black,"₦ 8,840,000","Lagos State, Ajah",Local Used,436393 km
Hyundai Elantra 2011 Gray,"₦ 5,460,000","Lagos State, Lekki",Local Used,121383 km
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2007 Black,"₦ 5,565,000","Lagos State, Lekki",Local Used,309540 km
Acura TSX 2012 Black,"₦ 5,250,000","Lagos State, Alimosho",Local Used,396948 km
Toyota Camry 2019 White,"₦ 15,750,000","Lagos State, Lekki",Local Used,157524 km
Mercedes-Benz M Class 2008 Black,"₦ 7,050,750","Lagos State, Ikeja",Local Used,277896 km
Toyota Corolla 2011 Black,"₦ 13,000,000","Lagos State, Kosofe",Foreign Used,133696 km
Toyota Highlander 2005 Silver,"₦ 6,510,000","Ogun State, Abeokuta North",Local Used,386748 km
Honda Ridgeline 2010 Black,"₦ 10,290,000","Oyo State, Ibadan",Foreign Used,235221 km
Kia Sorento 2008 Silver,"₦ 5,250,000","Oyo State, Ibadan",Local Used,186676 km
Toyota Sienna 2005 Gold,"₦ 5,880,000","Lagos State, Alimosho",Local Used,390554 km
Volvo XC90 2004 Blue,"₦ 4,725,000","Lagos State, Abule Egba",Local Used,302455 km
Honda Civic 2017 White,"₦ 16,800,000","Rivers State, Port-Harcourt",Foreign Used,110082 km
Toyota Corolla 2010 Gray,"₦ 7,350,000","Oyo State, Ibadan",Local Used,115518 km
Toyota Matrix 2014 Black,"₦ 12,600,000","Lagos State, Mushin",Foreign Used,308507 km
Toyota Highlander 2016 Blue,"₦ 32,240,000","Lagos State, Ikeja",Foreign Used,285933 km
Mercedes-Benz C300 2010 Gray,"₦ 7,800,000","Abuja (FCT), Kubwa",Local Used,88268 km
Volkswagen Passat 2014 Gold,"₦ 5,880,000","Rivers State, Port-Harcourt",Local Used,72867 km
Mercedes-Benz M Class 2012 Gray,"₦ 15,750,000","Ogun State, Abeokuta North",Local Used,406794 km
Acura MDX 2008 Gray,"₦ 7,280,000","Lagos State, Alimosho",Local Used,255933 km
Mitsubishi Canter 2003 White,"₦ 6,510,000","Enugu State, Enugu",Local Used,198402 km
Hyundai I10 2015 Black,"₦ 5,250,000","Lagos State, Ajah",Local Used,80378 km
Toyota 4-Runner Sport Edition V6 4x4 2005 Silver,"₦ 6,240,000","Lagos State, Magodo",Local Used,219555 km
Nissan Versa 2009 Black,"₦ 5,250,000","Ogun State, Abeokuta North",Local Used,286308 km
Toyota Sienna 2013 Blue,"₦ 13,650,000","Lagos State, Surulere",Foreign Used,161822 km
Toyota Corolla 2020 Gray,"₦ 19,240,000","Oyo State, Ibadan",Local Used,144686 km
BMW X5 2012 Black,"₦ 11,392,500","Lagos State, Yaba",Foreign Used,227967 km
Land Rover Range Rover Velar P250 SE R-Dynamic 4x4 2018 Black,"₦ 57,303,680","Lagos State, Lekki",Foreign Used,164913 km
Mercedes-Benz M Class 2013 Silver,"₦ 17,850,000","Lagos State, Ojodu",Foreign Used,158404 km
Lexus RX 450h 3.5 Hybrid AWD 2021 White,"₦ 71,400,000","Abuja (FCT), Wuse",Local Used,41239 km
Genesis G80 2016 Gray,"₦ 24,150,000","Rivers State, Port-Harcourt",Foreign Used,167569 km
Toyota Corolla 2006 Black,"₦ 5,040,000","Abuja (FCT), Wuse",Local Used,146090 km
Mercedes-Benz C-Class 2001 Silver,"₦ 8,400,000","Oyo State, Ibadan",Foreign Used,215755 km
Hyundai I10 2015 Silver,"₦ 7,350,000","Lagos State, Ilupeju",Local Used,91287 km
Honda Pilot 2005 Gray,"₦ 3,675,000","Enugu State, Enugu",Local Used,257457 km
Lexus RX 330 2004 Green,"₦ 6,090,000","Oyo State, Ibadan",Local Used,224703 km
Ford Explorer 2013 Gray,"₦ 14,700,000","Lagos State, Abule Egba",Foreign Used,119871 km
Toyota Camry 2011 Red,"₦ 7,800,000","Abuja (FCT), Jabi",Local Used,402269 km
Hyundai Elantra 2013 Black,"₦ 6,615,000","Lagos State, Ikorodu",Local Used,123412 km
